frame,time,area,x,y,w,h,cx,cy
498,16.616600000000002,1455.5,450,194,64,42,482.0,215.0
499,16.649966666666668,1451.5,450,194,64,42,482.0,215.0
500,16.683333333333334,1449.0,450,194,64,42,482.0,215.0
501,16.7167,1456.0,450,194,64,42,482.0,215.0
502,16.750066666666665,1454.0,450,197,64,39,482.0,216.5
503,16.783433333333335,1447.5,450,194,64,42,482.0,215.0
504,16.8168,1446.5,450,194,64,42,482.0,215.0
505,16.850166666666667,1434.0,450,200,64,36,482.0,218.0
506,16.883533333333332,1470.5,450,194,64,42,482.0,215.0
507,16.916900000000002,1457.0,450,196,64,40,482.0,216.0
508,16.950266666666668,1452.0,450,196,64,40,482.0,216.0
509,16.983633333333334,1456.0,450,196,64,40,482.0,216.0
510,17.017,1456.0,450,196,64,40,482.0,216.0
511,17.050366666666665,1456.0,450,196,64,40,482.0,216.0
512,17.083733333333335,1458.5,450,196,64,40,482.0,216.0
513,17.1171,1460.0,450,196,64,40,482.0,216.0
514,17.150466666666667,1445.5,450,200,64,36,482.0,218.0
515,17.183833333333332,1437.5,450,200,64,36,482.0,218.0
516,17.217200000000002,1437.5,450,200,64,36,482.0,218.0
517,17.250566666666668,1463.0,450,200,64,36,482.0,218.0
518,17.283933333333334,1485.0,450,194,64,42,482.0,215.0
519,17.3173,1461.5,450,200,64,36,482.0,218.0
520,17.350666666666665,1464.5,450,200,64,36,482.0,218.0
521,17.384033333333335,1463.0,450,200,64,36,482.0,218.0
522,17.4174,1438.0,450,200,62,36,481.0,218.0
523,17.450766666666667,1402.0,450,200,62,36,481.0,218.0
524,17.484133333333332,1476.5,452,192,60,46,482.0,215.0
525,17.517500000000002,1463.5,452,192,60,46,482.0,215.0
526,17.550866666666668,1760.5,452,186,60,50,482.0,211.0
527,17.584233333333334,2062.5,450,184,62,52,481.0,210.0
528,17.6176,1959.5,450,186,62,50,481.0,211.0
529,17.650966666666665,1894.0,452,186,62,50,483.0,211.0
531,17.7177,2759.5,456,140,62,94,487.0,187.0
533,17.784433333333332,1839.5,460,190,62,44,491.0,212.0
534,17.817800000000002,1872.0,462,188,64,46,494.0,211.0
535,17.851166666666668,1848.5,466,188,62,46,497.0,211.0
536,17.884533333333334,1894.0,472,184,60,50,502.0,209.0
537,17.9179,1908.0,472,184,60,50,502.0,209.0
540,18.018,941.5,504,136,36,64,522.0,168.0
542,18.084733333333332,907.5,510,136,47,44,533.5,158.0
543,18.118100000000002,973.0,510,134,58,44,539.0,156.0
544,18.151466666666668,1175.5,434,115,54,29,461.0,129.5
545,18.184833333333334,1286.0,434,115,54,29,461.0,129.5
546,18.2182,1833.0,512,178,62,62,543.0,209.0
547,18.251566666666665,1806.0,512,180,64,58,544.0,209.0
548,18.284933333333335,1893.5,514,178,62,60,545.0,208.0
549,18.3183,1641.5,438,115,54,39,465.0,134.5
550,18.351666666666667,1740.0,438,115,58,41,467.0,135.5
551,18.385033333333332,1989.5,518,176,62,58,549.0,205.0
552,18.418400000000002,1937.0,516,176,64,60,548.0,206.0
553,18.451766666666668,1882.5,444,115,54,47,471.0,138.5
554,18.485133333333334,2045.0,516,176,64,60,548.0,206.0
555,18.5185,2154.0,442,115,60,53,472.0,141.5
556,18.551866666666665,2144.0,442,115,60,53,472.0,141.5
557,18.585233333333335,2455.0,442,115,66,57,475.0,143.5
558,18.6186,2804.0,442,115,68,61,476.0,145.5
559,18.651966666666667,2891.5,444,115,68,63,478.0,146.5
560,18.685333333333332,3020.5,444,115,68,65,478.0,147.5
561,18.718700000000002,445.0,510,242,32,26,526.0,255.0
562,18.752066666666668,441.0,510,242,32,26,526.0,255.0
563,18.785433333333334,460.5,510,242,32,26,526.0,255.0
564,18.8188,464.5,510,242,32,26,526.0,255.0
565,18.852166666666665,471.0,510,242,32,28,526.0,256.0
566,18.885533333333335,2087.0,510,178,62,56,541.0,206.0
567,18.9189,1600.5,516,180,60,50,546.0,205.0
568,18.952266666666667,2979.5,440,115,90,70,485.0,150.0
569,18.985633333333332,2834.5,449,115,67,69,482.5,149.5
570,19.019000000000002,3320.5,440,115,70,67,475.0,148.5
571,19.052366666666668,3320.5,440,115,70,67,475.0,148.5
572,19.085733333333334,3114.0,440,115,68,67,474.0,148.5
573,19.1191,3088.0,438,115,68,65,472.0,147.5
574,19.152466666666665,2919.0,446,115,62,65,477.0,147.5
575,19.185833333333335,2974.5,444,115,66,65,477.0,147.5
